"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","substrate","antibiotics","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"air","2/24/20 0:00","run20022401","2/24/20",1,"gc180508",1,20022401,NA,NA,NA,NA,5.037,0,4836.6499,0,218.110991310657,0,9.00101751811232
"2_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard034","2/24/20 0:00","run20022401","2/24/20",1,"gc180508",2,20022401,NA,NA,NA,3.448,5.0745,3899.83716,6589.82177,71.860093668554,419.046253523744,0,0
"3_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard035","2/24/20 0:00","run20022401","2/24/20",1,"gc180508",3,20022401,NA,NA,NA,3.445,5.032,2756.68774,10524.4,59.8446973117487,869.997767104073,0,0
"4_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard036","2/24/20 0:00","run20022401","2/24/20",1,"gc180508",4,20022401,NA,NA,NA,3.446,5.026,49403.6,48101.3,550.140305059178,5176.77703036875,0,0
"5_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard037","2/24/20 0:00","run20022401","2/24/20",1,"gc180508",5,20022401,NA,NA,NA,3.445,5.024,265161,73376.2,2817.91968066678,8073.59436232238,0,0
"6_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"standard038","2/24/20 0:00","run20022401","2/24/20",1,"gc180508",6,20022401,NA,NA,NA,3.422,5.011,4334180,136161,45586.498497224,15269.5119257249,0,0
"7_20022401","antibioticTrial-4Feb2020",NA,NA,"2/24/20","2/24/20 0:00",NA,NA,NA,"air","2/24/20 0:00","run20022401","2/24/20",2,"gc180508",7,20022401,NA,NA,NA,NA,5.035,0,4514.55957,0,181.195440689342,0,7.47758435302276
"8_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",1,"gc180508",8,20022401,NA,"control","control",3.441,5.021,290332,54904.1,3082.48661864164,5956.46236822624,127.208243321503,245.811647547913
"9_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",2,"gc180508",9,20022401,NA,"control","control",3.443,5.023,143474,45163.5,1538.89393749615,4840.06867710866,63.5071676428757,199.740245504048
"10_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",3,"gc180508",10,20022401,NA,"control","control",3.438,5.018,525388,66948.4,5553.10940568311,7336.88868015028,229.166053210752,302.779163680075
"11_20022401","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/24/20 14:10","run20022401","2/24/20",4,"gc180508",11,20022401,NA,"control","control",3.439,5.019,334629,59129.2,3548.08280677373,6440.71128352312,146.422494838861,265.795660932667
